time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-22T08:12:21.630Z,56.6779,-148.5768,17.12,4.4,mb,,135,2.444,1.15,us,us2000d6ah,2018-02-22T08:30:31.040Z,"262km ESE of Kodiak, Alaska",earthquake,4.8,5.3,0.056,92,reviewed,us,us
2018-02-22T08:07:56.100Z,38.8388329,-122.8323364,1.63,1.35,md,16,145,0.01583,0.03,nc,nc72973766,2018-02-22T11:20:04.739Z,"10km NW of The Geysers, CA",earthquake,0.31,0.45,0.2,5,automatic,nc,nc
2018-02-22T08:04:14.840Z,38.8409996,-122.8303299,1.74,2.88,md,37,57,0.004692,0.05,nc,nc72973756,2018-02-22T10:52:02.686Z,"10km WNW of Cobb, CA",earthquake,0.17,0.28,0.16,24,automatic,nc,nc
2018-02-22T08:03:45.807Z,62.2068,-150.1232,6.9,1.4,ml,,,,0.8,ak,ak18485989,2018-02-22T08:09:36.152Z,"13km S of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-22T08:03:20.500Z,38.8404999,-122.831337,1.65,1.35,md,12,110,0.003761,0.03,nc,nc72973761,2018-02-22T10:36:03.653Z,"10km NW of The Geysers, CA",earthquake,0.33,0.45,0.02,3,automatic,nc,nc
2018-02-22T08:02:43.710Z,33.7538333,-116.8326667,16.5,0.73,ml,18,157,0.09802,0.16,ci,ci38113480,2018-02-22T08:06:14.842Z,"6km E of Valle Vista, CA",earthquake,0.53,0.66,0.246,17,automatic,ci,ci
2018-02-22T08:01:49.220Z,38.841835,-122.8304977,1.61,1.36,md,15,111,0.005068,0.02,nc,nc72973751,2018-02-22T10:08:02.608Z,"10km WNW of Cobb, CA",earthquake,0.28,0.46,0.1,6,automatic,nc,nc
2018-02-22T07:52:44.231Z,59.005,-153.6361,198.4,1.9,ml,,,,0.89,ak,ak18485303,2018-02-22T08:06:01.409Z,"110km SE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-22T07:46:12.362Z,60.3373,-142.93,3.1,1.7,ml,,,,0.81,ak,ak18485298,2018-02-22T07:52:21.865Z,"40km NW of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-22T07:41:54.416Z,62.2397,-151.1234,83.8,2.1,ml,,,,0.43,ak,ak18485288,2018-02-22T07:54:42.910Z,"53km W of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-02-22T07:31:16.390Z,18.7608,-64.9966,38,3.2,md,9,330,1.0531,0.31,pr,pr2018053001,2018-02-22T12:10:25.163Z,"46km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.31,11.98,0.25,6,reviewed,pr,pr
2018-02-22T07:24:42.641Z,61.2503,-143.5588,19,1.1,ml,,,,0.29,ak,ak18485265,2018-02-22T07:28:57.069Z,"55km ESE of Chitina, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-22T07:21:40.460Z,-3.1918,130.8411,10,5.3,mb,,48,1.431,0.85,us,us2000d6a6,2018-02-22T07:37:59.040Z,"214km E of Amahai, Indonesia",earthquake,7.3,1.8,0.051,130,reviewed,us,us
2018-02-22T07:20:38.972Z,63.1173,-149.769,82.7,2.7,ml,,,,0.63,ak,ak18485255,2018-02-22T08:58:07.040Z,"51km SW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-02-22T07:19:28.290Z,-3.2537,130.7629,10,5.4,mww,,38,1.52,0.97,us,us2000d6a3,2018-02-22T07:32:34.040Z,"205km E of Amahai, Indonesia",earthquake,6.3,1.9,0.073,18,reviewed,us,us
2018-02-22T07:07:50.460Z,38.2509,21.611,10,4.1,mb,,100,0.955,1.4,us,us2000d69x,2018-02-22T09:33:58.816Z,"9km NW of Paralia, Greece",earthquake,5.8,2,0.158,11,reviewed,us,us
2018-02-22T07:05:20.760Z,33.4965,-116.7875,5.11,0.48,ml,18,47,0.0805,0.15,ci,ci38113464,2018-02-22T07:08:48.699Z,"9km NE of Aguanga, CA",earthquake,0.28,1.25,0.152,13,automatic,ci,ci
2018-02-22T06:41:28.988Z,60.5206,-147.2988,17.1,1.7,ml,,,,0.77,ak,ak18484555,2018-02-22T06:49:39.319Z,"80km ESE of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-22T06:27:39.870Z,38.8103333,-122.7836685,-0.08,0.55,md,6,123,0.003737,0.12,nc,nc72973681,2018-02-22T06:46:03.521Z,"4km NNW of The Geysers, CA",earthquake,0.56,1.31,,1,automatic,nc,nc
2018-02-22T06:27:08.790Z,34.0415,-117.2593333,14.04,0.72,ml,24,85,0.1077,0.13,ci,ci38113456,2018-02-22T06:30:49.239Z,"1km SSE of Loma Linda, CA",earthquake,0.24,0.59,0.132,21,automatic,ci,ci
2018-02-22T06:19:52.010Z,33.3191667,-116.3311667,9.67,0.96,ml,34,159,0.08815,0.22,ci,ci38113448,2018-02-22T06:23:29.198Z,"8km NNE of Borrego Springs, CA",earthquake,0.48,0.89,0.156,25,automatic,ci,ci
2018-02-22T05:59:58.537Z,60.7337,-144.3928,26.8,1.3,ml,,,,0.37,ak,ak18484544,2018-02-22T06:07:01.061Z,"77km ENE of Cordova, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-22T05:48:58.980Z,23.8125,-44.9506,10,5,mb,,87,17.445,1.02,us,us2000d69c,2018-02-22T06:09:38.040Z,"Northern Mid-Atlantic Ridge",earthquake,11,1.9,0.027,433,reviewed,us,us
2018-02-22T05:43:07.083Z,59.4806,-152.7794,94.8,1.8,ml,,,,0.94,ak,ak18484536,2018-02-22T05:56:19.314Z,"62km WSW of Anchor Point, Alaska",earthquake,,1.7,,,automatic,ak,ak
