,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,Somalia,2009-01-01,1st,114.7,10.0,10.0,9.7,9.5,7.7,8.5,10.0,9.9,9.9,9.8,9.9,9.8
1,Zimbabwe,2009-01-01,2nd,114.0,9.7,9.5,9.1,10.0,9.7,10.0,9.8,9.8,9.9,9.8,9.1,7.6
2,Sudan,2009-01-01,3rd,112.4,9.7,9.5,9.9,7.0,9.6,9.0,9.8,9.5,9.8,9.0,9.8,9.8
3,Chad,2009-01-01,4th,112.2,9.9,9.8,9.8,8.3,9.3,7.8,9.8,9.6,9.5,9.3,9.4,9.7
4,Congo Democratic Republic,2009-01-01,5th,108.7,9.7,8.7,8.9,8.3,9.3,8.1,8.6,9.2,9.0,9.7,9.6,9.6
5,Iraq,2009-01-01,6th,108.6,9.7,9.6,9.7,7.6,8.6,9.1,9.0,8.4,9.3,8.7,8.9,10.0
6,Afghanistan,2009-01-01,7th,108.2,9.9,9.1,9.6,8.3,8.4,7.2,9.8,8.9,8.8,9.3,8.9,10.0
7,Central African Republic,2009-01-01,8th,105.4,9.6,9.5,8.6,8.4,9.1,5.7,9.3,9.3,8.9,8.9,9.0,9.1
8,Guinea,2009-01-01,9th,104.6,9.4,9.2,8.2,8.7,8.9,8.6,9.8,9.2,9.0,8.5,7.1,8.0
9,Pakistan,2009-01-01,10th,104.1,9.5,9.6,9.6,6.4,8.8,8.3,9.1,7.5,8.9,8.3,8.6,9.5
10,Cote d'Ivoire,2009-01-01,11th,102.5,8.5,8.5,9.0,8.3,8.1,8.4,9.1,8.0,8.5,8.6,7.8,9.7
11,Haiti,2009-01-01,12th,101.8,8.4,8.3,7.3,8.9,8.2,8.6,9.2,9.5,8.5,9.3,5.8,9.8
12,Myanmar,2009-01-01,13th,101.5,8.4,8.7,8.9,8.2,9.5,6.0,9.5,9.0,9.0,9.0,8.8,6.5
13,Kenya,2009-01-01,14th,101.4,8.0,8.8,8.6,7.5,8.8,8.3,9.0,8.0,8.2,9.0,9.0,8.2
14,Nigeria,2009-01-01,15th,99.8,9.4,9.6,9.7,6.6,9.5,8.3,9.2,9.0,8.6,8.5,5.3,6.1
