,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,South Sudan,2017-01-01,1st,113.9,10.0,9.7,9.7,10.0,8.9,6.4,10.0,10.0,9.5,9.9,10.0,9.8
1,Somalia,2017-01-01,2nd,113.4,9.4,10.0,8.9,8.9,9.3,9.8,9.3,9.0,9.5,10.0,10.0,9.3
2,Central African Republic,2017-01-01,3rd,112.6,9.0,9.7,9.1,9.1,10.0,7.5,9.7,10.0,9.7,9.0,10.0,9.8
3,Yemen,2017-01-01,4th,111.1,9.8,9.5,9.3,9.3,8.2,7.3,9.7,9.6,9.7,9.3,9.4,10.0
4,Sudan,2017-01-01,5th,110.6,9.0,9.7,10.0,8.5,7.4,8.9,9.8,8.9,9.6,9.3,9.8,9.7
5,Syria,2017-01-01,5th,110.6,9.8,9.9,9.8,8.1,7.7,8.4,9.9,9.2,9.8,8.2,9.8,10.0
6,Congo Democratic Republic,2017-01-01,7th,110.0,9.0,9.8,10.0,8.4,8.4,6.6,9.6,9.5,9.8,9.4,10.0,9.5
7,Chad,2017-01-01,8th,109.4,9.4,9.8,8.0,8.5,9.1,8.8,9.1,9.7,9.1,10.0,9.6,8.3
8,Afghanistan,2017-01-01,9th,107.3,10.0,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7
9,Iraq,2017-01-01,10th,105.4,10.0,9.6,9.6,6.6,7.3,7.7,9.5,8.2,8.7,8.6,9.9,9.7
10,Haiti,2017-01-01,11th,105.3,7.7,9.6,6.5,8.7,9.8,8.8,9.7,9.7,7.6,9.5,7.7,10.0
11,Guinea,2017-01-01,12th,102.4,8.8,9.6,8.6,9.2,7.7,7.4,9.6,9.5,7.7,8.7,8.2,7.4
12,Nigeria,2017-01-01,13th,101.6,9.2,9.6,9.2,8.0,8.6,7.2,8.6,9.2,8.9,9.1,7.5,6.5
13,Zimbabwe,2017-01-01,13th,101.6,8.1,9.8,7.3,8.6,8.5,7.9,9.2,8.9,8.2,9.1,8.5,7.5
14,Ethiopia,2017-01-01,15th,101.1,8.4,8.7,9.1,7.0,6.5,7.6,8.2,8.8,9.0,9.8,9.3,8.7
15,Guinea Bissau,2017-01-01,16th,99.5,8.9,9.6,5.2,8.3,9.1,8.1,9.2,9.4,7.5,8.6,7.3,8.3
16,Burundi,2017-01-01,17th,98.9,8.8,8.2,7.9,8.0,7.2,6.3,8.8,8.0,8.8,9.3,8.6,9.0
17,Pakistan,2017-01-01,17th,98.9,9.1,8.9,10.0,6.9,6.5,7.2,8.1,7.7,8.0,8.4,8.7,9.4
18,Eritrea,2017-01-01,19th,98.1,7.2,8.1,7.1,8.1,7.8,8.3,9.3,8.4,9.0,8.8,8.3,7.7
19,Niger,2017-01-01,20th,97.4,8.7,8.9,8.0,7.5,8.5,7.5,7.3,9.5,6.5,9.0,7.9,8.1
20,Cote d'Ivoire,2017-01-01,21st,96.5,7.7,9.1,8.1,6.6,8.0,7.3,7.9,8.7,7.9,8.2,7.8,9.2
21,Kenya,2017-01-01,22nd,96.4,8.3,8.9,8.9,6.9,7.9,7.6,7.6,8.0,7.0,8.9,8.3,8.1
22,Libya,2017-01-01,23rd,96.3,9.6,9.4,8.1,8.5,5.6,6.3,9.5,7.0,9.1,4.9,8.3,10.0
23,Uganda,2017-01-01,24th,96.0,7.1,8.6,8.5,5.5,7.4,7.6,8.6,8.3,7.8,9.0,9.3,8.3
24,Myanmar,2017-01-01,35th,95.7,8.9,8.3,9.7,5.9,7.7,6.4,8.6,8.5,8.9,6.8,8.7,7.3
25,Cameroon,2017-01-01,26th,95.6,7.9,9.1,8.3,6.6,7.6,7.6,8.4,8.7,7.5,8.1,8.0,7.8
26,Liberia,2017-01-01,27th,93.8,6.4,8.3,5.8,8.1,8.4,7.2,6.8,9.3,6.5,9.0,8.7,9.3
27,Mauritania,2017-01-01,28th,93.7,6.9,8.8,7.0,7.7,6.8,6.9,8.0,9.0,7.9,8.7,8.0,8.0
28,Congo Republic,2017-01-01,29th,93.4,7.2,6.7,7.2,7.0,8.1,7.4,8.9,9.5,8.5,8.1,7.7,7.1
29,North Korea,2017-01-01,30th,93.3,8.3,8.5,5.8,8.9,7.5,4.4,10.0,8.6,9.4,7.7,4.4,9.8
30,Mali,2017-01-01,31st,92.9,9.0,4.9,7.4,7.7,7.4,8.5,6.1,8.8,7.3,8.5,7.9,9.4
31,Angola,2017-01-01,32nd,91.1,6.5,7.2,7.5,6.4,9.9,6.6,8.6,9.1,7.3,9.5,7.1,5.4
32,Nepal,2017-01-01,33rd,91.0,6.5,8.8,9.4,7.5,6.7,6.5,7.4,7.2,7.7,8.6,7.8,6.9
33,Rwanda,2017-01-01,34th,90.8,6.2,8.0,9.4,6.0,8.3,7.4,7.1,7.4,7.2,8.0,8.3,7.5
34,Timor-Leste,2017-01-01,35th,90.5,7.2,8.3,6.5,7.9,6.8,7.6,6.9,8.5,5.3,9.7,6.3,9.5
35,Egypt,2017-01-01,36th,89.8,8.1,8.8,8.8,8.2,6.0,4.7,8.2,4.9,9.8,7.1,7.3,7.9
36,Gambia,2017-01-01,37th,89.4,6.3,7.8,3.8,8.4,6.9,8.3,8.6,7.8,9.4,8.3,6.8,7.0
37,Sierra Leone,2017-01-01,38th,89.3,4.3,7.8,6.2,8.6,8.3,8.5,6.9,8.8,5.3,9.0,7.7,7.9
38,Bangladesh,2017-01-01,39th,89.1,7.6,9.3,8.7,5.8,6.7,7.8,7.8,8.1,7.4,7.5,6.6,5.8
39,Mozambique,2017-01-01,40th,89.0,6.7,6.6,5.4,8.0,8.8,8.0,6.5,9.7,5.6,9.9,5.8,8.0
40,Djibouti,2017-01-01,41st,88.9,6.5,7.3,6.5,7.0,7.9,5.4,8.2,7.9,7.8,8.4,7.3,8.7
41,Swaziland,2017-01-01,42nd,88.8,6.3,6.8,3.4,9.7,8.2,7.2,8.8,8.1,9.1,9.4,4.7,7.1
42,Lebanon,2017-01-01,43rd,88.2,8.7,9.3,8.5,6.4,5.6,5.0,7.6,5.7,7.4,5.6,9.3,9.1
43,Burkina Faso,2017-01-01,44th,88.0,8.4,7.8,4.5,6.3,8.2,7.5,7.1,8.7,6.1,9.3,6.6,7.5
44,Malawi,2017-01-01,44th,88.0,4.8,8.1,5.6,8.4,8.3,7.9,6.4,8.6,6.2,9.7,5.8,8.2
45,Zambia,2017-01-01,46th,87.8,4.6,6.2,5.9,7.9,9.2,7.9,7.7,7.9,7.4,9.5,6.4,7.2
46,Sri Lanka,2017-01-01,47th,86.6,7.4,8.8,9.0,5.4,7.1,7.7,6.9,5.1,8.3,6.2,8.4,6.3
47,Papua New Guinea,2017-01-01,48th,86.4,7.2,7.1,6.3,6.1,9.1,7.4,6.8,9.0,7.6,7.8,5.2,6.8
48,Iran,2017-01-01,49th,85.8,7.5,9.6,9.3,6.4,5.6,6.5,9.0,4.5,9.5,4.9,6.5,6.5
49,Cambodia,2017-01-01,50th,85.7,6.7,8.3,6.9,5.7,6.6,7.6,8.3,7.8,7.7,7.0,5.7,7.4
50,Equatorial Guinea,2017-01-01,51st,85.0,6.5,8.2,6.3,6.5,8.7,5.5,9.8,7.9,9.2,7.5,3.9,5.0
51,Comoros,2017-01-01,52nd,84.8,6.7,8.0,5.4,8.0,7.5,7.4,7.3,8.2,6.3,7.3,4.7,8.0
52,Solomon Islands,2017-01-01,52nd,84.8,5.9,8.2,6.5,7.1,9.0,6.9,6.8,7.7,5.2,8.5,4.4,8.6
53,Philippines,2017-01-01,54th,84.4,9.7,8.0,7.9,5.5,5.7,6.5,7.0,6.7,6.6,7.5,6.9,6.4
54,Madagascar,2017-01-01,55th,84.0,7.1,7.8,4.1,7.6,9.1,6.7,7.1,9.1,5.6,9.1,3.9,6.8
55,Togo,2017-01-01,56th,83.9,6.5,7.6,4.6,6.4,8.2,7.5,7.8,8.2,6.7,7.8,6.6,6.0
56,Guatemala,2017-01-01,57th,83.1,7.6,7.1,8.5,5.5,8.1,7.3,6.5,7.5,7.2,7.0,5.6,5.2
57,Venezuela,2017-01-01,58th,82.9,7.3,8.2,7.2,7.3,6.7,5.5,8.5,7.7,8.9,5.6,4.6,5.4
58,Laos,2017-01-01,59th,82.4,5.5,8.3,6.6,5.2,6.6,7.7,9.1,7.0,7.9,7.3,5.1,6.1
59,Senegal,2017-01-01,60th,82.3,6.2,6.6,6.4,7.4,7.4,8.0,4.7,7.5,6.0,8.1,7.3,6.7
60,Tajikistan,2017-01-01,61st,81.8,6.7,8.4,7.4,7.3,4.8,6.2,9.1,5.6,8.2,7.9,4.3,5.9
61,Lesotho,2017-01-01,62nd,81.7,6.2,7.3,3.9,8.1,8.1,8.0,5.9,8.1,5.0,8.5,4.8,7.8
62,Uzbekistan,2017-01-01,63rd,81.5,7.1,8.8,7.1,6.3,6.9,6.0,9.5,4.9,9.2,5.6,5.5,4.6
63,Turkey,2017-01-01,64th,80.8,8.3,9.1,10.0,4.6,5.7,3.9,7.6,4.4,7.7,4.9,9.2,5.4
64,Kyrgyz Republic,2017-01-01,65th,80.3,6.5,8.0,8.4,7.0,5.9,7.0,7.7,5.1,7.5,5.5,5.3,6.4
65,Tanzania,2017-01-01,65th,80.3,5.5,5.7,5.2,6.2,7.1,7.6,5.9,8.6,5.9,8.7,6.7,7.2
66,Russia,2017-01-01,67th,79.2,8.9,8.1,8.8,5.2,6.2,4.0,8.5,4.2,9.2,4.6,5.8,5.7
67,Honduras,2017-01-01,68th,79.1,7.3,6.8,5.9,6.4,7.7,6.4,6.8,6.8,6.9,6.3,4.3,7.5
68,Colombia,2017-01-01,69th,78.9,6.9,7.6,7.3,4.2,7.6,6.2,6.3,5.9,7.0,6.2,7.7,6.0
69,Israel and West Bank,2017-01-01,69th,78.9,6.9,8.1,10.0,3.8,6.8,3.8,6.4,4.8,7.5,6.0,7.3,7.5
70,Jordan,2017-01-01,71st,78.7,5.7,6.9,8.0,6.4,5.4,4.2,6.3,4.2,7.9,6.5,9.6,7.6
71,India,2017-01-01,72nd,77.9,7.4,7.3,8.3,5.1,7.0,6.1,4.7,7.4,6.0,7.9,5.3,5.4
72,Benin,2017-01-01,73rd,77.6,6.2,6.7,3.4,6.6,7.6,7.4,5.4,8.7,5.2,8.3,5.5,6.6
73,Nicaragua,2017-01-01,74th,77.4,5.6,7.1,6.5,5.7,8.0,8.1,7.9,6.7,5.2,5.3,4.0,7.3
74,Ecuador,2017-01-01,75th,77.3,6.8,8.2,7.3,6.0,6.7,5.8,6.5,6.5,5.0,6.5,5.7,6.3
75,Fiji,2017-01-01,76th,76.9,7.1,7.9,6.9,6.5,6.3,8.2,6.9,5.0,6.9,4.9,3.1,7.2
76,Algeria,2017-01-01,77th,76.8,7.2,7.1,7.1,6.6,6.6,5.8,6.9,6.0,6.6,5.2,6.8,4.9
77,Bolivia,2017-01-01,77th,76.8,6.5,8.0,6.0,5.4,8.6,7.0,6.5,6.8,6.0,6.3,3.9,5.8
78,Georgia,2017-01-01,79th,76.5,6.8,9.1,7.9,5.5,5.5,4.9,8.3,4.3,5.6,3.7,7.5,7.4
79,Micronesia,2017-01-01,80th,76.4,4.6,5.6,4.0,8.8,8.3,9.8,5.5,6.0,3.3,7.1,3.9,9.5
80,Azerbaijan,2017-01-01,81st,76.3,6.2,7.9,6.5,4.1,5.9,4.3,8.8,5.4,8.5,4.6,7.7,6.4
81,Thailand,2017-01-01,82nd,76.2,9.0,9.4,8.5,3.3,5.3,4.7,7.5,4.4,8.0,6.4,5.9,3.8
82,Bhutan,2017-01-01,83rd,76.0,4.5,7.5,7.9,4.7,6.1,7.2,4.3,6.1,6.6,6.1,7.0,8.0
