,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,South Sudan,2015-01-01,1st,114.5,10.0,10.0,10.0,9.0,8.8,6.9,10.0,10.0,10.0,9.8,10.0,10.0
1,Somalia,2015-01-01,2nd,114.0,9.7,10.0,9.5,9.1,9.0,9.2,9.3,9.3,10.0,9.6,9.8,9.5
2,Central African Republic,2015-01-01,3rd,111.9,9.8,10.0,9.6,8.3,9.7,6.9,9.5,9.9,10.0,8.4,10.0,9.8
3,Sudan,2015-01-01,4th,110.8,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10.0,9.8
4,Congo Democratic Republic,2015-01-01,5th,109.7,9.5,9.5,9.5,7.9,8.8,7.1,9.0,9.7,10.0,9.5,9.4,9.8
5,Chad,2015-01-01,6th,108.4,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10.0,8.3
6,Yemen,2015-01-01,7th,108.2,10.0,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5
7,Afghanistan,2015-01-01,8th,107.9,10.0,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8
8,Syria,2015-01-01,9th,107.8,10.0,9.9,10.0,7.5,7.0,7.4,9.9,8.2,10.0,8.1,10.0,9.9
9,Guinea,2015-01-01,10th,104.9,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9.0,8.7,8.1
10,Haiti,2015-01-01,11th,104.5,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9
11,Iraq,2015-01-01,12th,104.4,10.0,9.6,10.0,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4
12,Pakistan,2015-01-01,13th,103.0,9.6,9.2,10.0,7.7,7.3,7.0,8.6,7.9,8.4,9.0,8.9,9.3
13,Nigeria,2015-01-01,14th,102.5,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6.0
14,Cote d'Ivoire,2015-01-01,15th,100.1,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9.0,7.9,8.1,9.0,9.7
15,Zimbabwe,2015-01-01,16th,100.0,7.9,9.7,7.8,8.0,8.1,8.0,9.0,8.5,8.3,8.7,8.4,7.6
16,Guinea Bissau,2015-01-01,17th,99.9,8.8,9.6,5.7,8.7,8.4,8.5,9.0,9.2,7.2,8.2,7.8,8.8
17,Burundi,2015-01-01,18th,98.0,7.7,7.9,8.0,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9.0,8.4
18,Niger,2015-01-01,19th,97.8,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1
19,Ethiopia,2015-01-01,20th,97.5,8.4,8.6,8.5,6.9,7.1,7.0,7.4,8.6,8.5,9.2,9.4,7.9
20,Kenya,2015-01-01,21st,97.3,8.4,8.9,9.0,7.5,8.3,7.5,8.1,7.9,6.5,9.0,8.3,8.0
21,Liberia,2015-01-01,21st,97.3,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10.0
22,Uganda,2015-01-01,23rd,97.0,7.6,8.9,8.7,7.0,7.3,7.3,8.0,8.3,7.9,8.9,8.8,8.3
23,Eritrea,2015-01-01,24th,96.9,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2
24,Libya,2015-01-01,25th,95.3,9.3,9.1,7.8,8.0,6.1,6.4,9.8,7.5,9.0,5.4,7.4,9.5
25,Mauritania,2015-01-01,26th,94.9,7.4,8.8,6.9,8.0,7.1,6.3,7.9,8.9,8.0,8.6,8.5,8.5
26,Myanmar,2015-01-01,27th,94.7,8.3,8.3,9.7,6.5,8.2,5.7,9.0,8.6,8.3,6.8,8.3,7.0
27,Cameroon,2015-01-01,28th,94.3,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8.0,8.0,7.8,7.0
28,North Korea,2015-01-01,29th,93.8,8.6,8.5,6.3,9.0,8.0,4.2,10.0,8.9,9.7,7.5,4.3,8.8
29,Mali,2015-01-01,30th,92.9,8.7,4.9,7.6,8.2,7.4,8.4,6.0,9.0,6.7,9.1,7.8,9.3
30,Sierra Leone,2015-01-01,31st,91.9,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8
31,Bangladesh,2015-01-01,32nd,91.8,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7
32,Congo Republic,2015-01-01,33rd,90.8,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6
33,Sri Lanka,2015-01-01,34th,90.7,7.9,9.1,9.3,5.9,7.6,7.8,8.0,5.6,8.8,6.0,8.2,6.4
34,Nepal,2015-01-01,35th,90.5,7.0,8.3,9.1,6.8,7.5,7.0,7.1,7.1,7.7,7.9,7.6,7.4
35,Timor-Leste,2015-01-01,35th,90.5,7.7,8.3,6.5,8.4,6.7,7.0,7.4,8.4,5.8,8.9,6.8,8.7
36,Rwanda,2015-01-01,37th,90.2,6.2,8.0,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8.0,7.9,7.8
37,Egypt,2015-01-01,38th,89.9,8.2,9.0,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1
38,Burkina Faso,2015-01-01,39th,89.2,7.4,7.8,5.0,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5
39,Lebanon,2015-01-01,40th,88.1,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2
40,Djibouti,2015-01-01,41st,88.0,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4
41,Angola,2015-01-01,42nd,87.9,6.0,7.2,7.3,5.6,9.6,6.0,8.3,8.9,7.3,8.7,7.6,5.6
42,Cambodia,2015-01-01,42nd,87.9,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7.0,5.8,7.4
43,Iran,2015-01-01,44th,87.1,8.0,9.4,8.5,6.9,6.1,6.2,8.9,5.0,9.3,5.4,6.5,7.0
44,Malawi,2015-01-01,44th,86.9,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1
45,Mozambique,2015-01-01,46th,86.9,7.0,6.9,5.9,7.8,8.6,7.4,7.2,9.0,6.1,8.7,5.0,7.3
46,Togo,2015-01-01,47th,86.8,7.0,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8.0,7.1,6.5
47,Philippines,2015-01-01,48th,86.2,9.1,8.0,8.3,6.0,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3
48,Swaziland,2015-01-01,48th,86.2,6.0,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6
49,Solomon Islands,2015-01-01,50th,85.9,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8.0
50,Gambia,2015-01-01,51st,85.4,6.0,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5
51,Uzbekistan,2015-01-01,52nd,85.3,7.6,8.8,7.6,6.8,7.0,6.3,9.6,5.4,9.1,6.1,6.0,5.1
52,Zambia,2015-01-01,53rd,85.1,5.0,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6
53,Equatorial Guinea,2015-01-01,54th,84.8,7.0,8.2,6.3,5.2,9.0,6.0,9.8,7.1,9.7,7.7,3.3,5.5
54,Laos,2015-01-01,55th,84.4,6.0,8.3,6.3,5.5,6.9,7.4,9.0,7.7,8.1,7.1,5.6,6.6
55,Madagascar,2015-01-01,56th,83.6,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3
56,Papua New Guinea,2015-01-01,57th,83.4,6.9,7.1,6.3,6.2,9.0,7.1,6.9,8.7,6.6,7.3,4.6,6.7
57,Tajikistan,2015-01-01,57th,83.4,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4
58,Comoros,2015-01-01,59th,83.3,7.2,7.5,5.0,8.0,7.0,7.8,6.8,8.0,6.1,7.6,4.5,7.8
59,Senegal,2015-01-01,60th,82.9,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8.0,7.8,6.5
60,Colombia,2015-01-01,61st,82.5,7.3,7.6,8.0,3.8,7.5,6.7,7.1,6.0,7.3,6.9,7.8,6.5
61,Kyrgyz Republic,2015-01-01,62nd,82.2,6.8,8.0,8.4,7.0,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9
62,Tanzania,2015-01-01,63rd,80.8,5.5,5.7,5.7,6.7,7.0,7.0,6.0,8.7,6.0,8.8,6.4,7.3
63,Guatemala,2015-01-01,64th,80.4,7.0,6.0,7.9,6.0,8.0,6.7,6.6,7.4,6.6,7.3,5.5,5.4
64,Russia,2015-01-01,65th,80.0,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9
65,Lesotho,2015-01-01,66th,79.9,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8.0,4.8,7.7,4.9,7.8
66,Algeria,2015-01-01,67th,79.6,8.0,7.7,8.2,6.4,6.0,5.1,7.8,5.8,7.1,5.7,6.4,5.4
67,Israel and West Bank,2015-01-01,68th,79.4,7.0,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6.0,7.4,7.6
68,India,2015-01-01,69th,79.3,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8.0,5.4,5.3
69,Georgia,2015-01-01,70th,79.2,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3
70,Thailand,2015-01-01,71st,79.1,8.9,10.0,8.5,4.0,5.8,4.1,8.0,4.9,7.7,6.9,6.0,4.3
71,Nicaragua,2015-01-01,72nd,79.0,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3
72,Benin,2015-01-01,73rd,78.8,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6.0,7.1
73,Bhutan,2015-01-01,74th,78.7,5.0,7.5,7.9,5.7,6.9,6.8,5.0,6.6,6.5,6.0,6.9,7.9
74,Venezuela,2015-01-01,74th,78.7,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3
75,Bolivia,2015-01-01,76th,78.1,6.6,8.0,6.5,5.4,8.6,6.4,7.0,6.9,5.9,6.7,3.8,6.2
76,Honduras,2015-01-01,76th,78.1,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4
77,Bosnia and Herzegovina,2015-01-01,78th,77.4,6.2,8.7,7.1,5.8,5.6,5.5,7.0,4.1,5.8,6.1,7.3,8.2
78,Turkmenistan,2015-01-01,78th,77.4,6.8,7.8,7.1,5.0,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6
79,Azerbaijan,2015-01-01,80th,77.3,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9
80,Jordan,2015-01-01,81st,76.9,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7.0,8.8,6.8
81,Fiji,2015-01-01,82nd,76.7,6.7,7.9,7.0,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2
82,China,2015-01-01,83rd,76.5,5.9,7.2,8.3,3.4,7.4,4.6,8.0,6.2,9.2,7.4,5.6,3.2
83,Ukraine,2015-01-01,84th,76.3,7.9,8.0,7.0,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1
84,Ecuador,2015-01-01,85th,75.9,6.7,8.2,7.8,5.3,6.8,6.2,7.0,6.3,5.1,5.7,5.2,5.6
85,Tunisia,2015-01-01,86th,75.7,7.8,8.1,7.8,6.6,5.4,5.5,7.0,4.9,7.0,4.7,4.1,6.9
86,Belarus,2015-01-01,87th,75.6,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8
87,Indonesia,2015-01-01,88th,75.0,6.2,7.0,7.3,5.2,6.3,6.3,5.6,6.0,6.8,7.1,5.9,5.3
88,Morocco,2015-01-01,89th,74.6,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7.0,5.5,5.3,6.0
89,Turkey,2015-01-01,89th,74.6,7.7,7.3,9.0,5.0,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5.0
90,Maldives,2015-01-01,91st,74.3,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7.0
91,Serbia,2015-01-01,92nd,73.8,6.0,8.0,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7.0,6.6
92,Sao Tome and Principe,2015-01-01,93rd,73.7,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9
93,Cape Verde,2015-01-01,94th,73.5,5.7,5.5,4.0,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1
94,Micronesia,2015-01-01,94th,73.5,5.1,5.6,4.0,8.1,8.4,9.0,6.0,5.7,3.1,7.1,3.2,8.3
