,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,Sudan,2006-01-01,1st,112.3,9.8,9.1,9.7,7.5,9.2,9.1,9.5,9.5,9.8,9.6,9.7,9.8
1,Congo Democratic Republic,2006-01-01,2nd,110.1,9.8,9.6,9.1,8.1,9.0,8.0,9.0,9.0,9.5,9.5,9.5,10.0
2,Cote d'Ivoire,2006-01-01,3rd,109.2,9.8,9.8,9.8,9.0,8.0,8.5,10.0,8.5,9.4,8.8,7.6,10.0
3,Iraq,2006-01-01,4th,109.0,9.8,9.7,9.8,8.2,8.7,9.1,8.5,8.3,9.7,8.9,8.3,10.0
4,Zimbabwe,2006-01-01,5th,108.9,9.4,8.5,8.5,9.8,9.2,9.0,8.9,9.5,9.5,9.7,8.9,8.0
5,Chad,2006-01-01,6th,105.9,9.4,9.5,8.5,7.9,9.0,8.0,9.5,9.0,9.1,9.0,9.0,8.0
6,Somalia,2006-01-01,6th,105.9,10.0,9.8,8.0,8.5,7.5,7.0,10.0,10.0,9.5,9.0,8.1,8.5
7,Haiti,2006-01-01,8th,104.6,9.4,9.6,8.8,8.4,8.3,8.0,9.4,9.3,9.6,8.8,5.0,10.0
8,Pakistan,2006-01-01,9th,103.1,9.1,9.1,8.6,7.0,8.9,8.1,8.5,7.5,8.5,9.3,9.3,9.2
9,Afghanistan,2006-01-01,10th,99.8,8.2,8.0,9.1,7.5,8.0,7.0,8.3,8.0,8.2,7.9,9.6,10.0
10,Guinea,2006-01-01,11th,99.0,8.1,9.0,8.1,8.0,8.0,8.4,9.1,9.0,8.1,7.5,7.2,8.5
11,Liberia,2006-01-01,11th,99.0,7.3,8.8,7.0,8.9,8.6,7.1,7.8,9.0,7.2,8.0,9.3,10.0
12,Central African Republic,2006-01-01,13th,97.5,8.9,8.0,8.8,8.1,8.5,5.5,9.0,8.0,7.5,9.0,7.7,8.5
13,North Korea,2006-01-01,14th,97.3,8.3,8.0,7.2,9.5,9.0,5.0,9.8,9.5,9.5,8.0,6.0,7.5
14,Burundi,2006-01-01,15th,96.7,7.3,7.8,7.0,7.8,8.8,6.7,7.2,8.5,7.5,9.0,9.1,10.0
15,Sierra Leone,2006-01-01,16th,96.6,7.0,7.7,7.1,9.0,8.7,8.9,8.0,8.0,7.0,8.5,7.9,8.8
16,Yemen,2006-01-01,16th,96.6,9.0,9.4,7.0,7.8,9.0,8.2,8.8,8.2,7.2,7.8,6.7,7.5
