,Crime,District,Neighborhood,ILEADSStreet,CADStreet,Lon,Lat
7583,182250,5,57,COTE BRILLIANTE AVE,COTE BRILLIANTE,-90.23776290799998,38.65568819900005
7584,63701,2,8,HAMPTON AVE,HAMPTON,-90.29551755999995,38.59252081900007
7585,266999,2,8,HAMPTON AVE,HAMPTON,-90.29551755999995,38.59252081900007
7586,69702,3,18,S BROADWAY,,-90.22744457599998,38.58170861900004
7587,142320,1,1,BATES ST,BATES,-90.25222967699995,38.56773357000003
7588,265321,2,39,VISTA AVE,VISTA,-90.25671672499999,38.62434607700004
7589,65601,2,13,ARSENAL ST,ARSENAL,-90.27619292099996,38.60592407200005
7590,65701,4,62,CARR ST,CARR,-90.19222084299997,38.635738038000056
7591,229999,3,19,S GRAND BLVD,CHIPPEWA,-90.24388581899996,38.58880281900008
7592,64701,2,13,DALTON AVE,DALTON,-90.28494930699998,38.608260804000054
7593,65701,4,62,CARR ST,CARR,-90.19034998799998,38.63532396000005
7594,229999,4,35,OLIVE ST,OLIVE,-90.19558172299998,38.629444953000075
7595,182999,5,38,N KINGSHIGHWAY BLVD / WEST PIN,,-90.26499813999999,38.642494310000075
7596,182400,4,35,S TUCKER BLVD,TUCKER,-90.19849513799994,38.62563292300007
7597,69702,6,68,ADELAIDE AVE,CLAY,-90.22227742599995,38.67341021400006
7598,265321,6,75,RIVERVIEW DR / SCRANTON AVE,,-90.21271270099999,38.734222174000024
7599,250000,4,36,MARKET ST,MARKET,-90.20762510999998,38.62903632100006
7600,142320,5,46,WATERMAN BLVD,WATERMAN,-90.29887151199995,38.65105056300007
7601,65701,2,14,MARDEL AVE,MARDEL,-90.27821401299997,38.59370850500005
7602,229999,3,30,S JEFFERSON AVE,,-90.22385504899995,38.60297298000006
7603,32111,6,68,E SAN FRANCISCO AVE,SAN FRANCISCO,-90.23137115799994,38.66949932400007
7604,63701,4,35,N 9TH ST,,-90.19345669799998,38.62898907400006
7605,31111,6,68,FAIR AVE / E GREEN LEA PL,FAIR,-90.22436792299999,38.67284675800005
7606,51221,2,15,POTOMAC ST,POTOMAC,-90.26417214299994,38.59558673300006
7607,64701,4,37,LOCUST ST,LOCUST,-90.22393181199999,38.635992900000076
7608,64701,1,16,DUNNICA AVE,DUNNICA,-90.24645120499997,38.58725694900005
7609,67701,2,7,SUTHERLAND AVE,SUTHERLAND,-90.29107549899999,38.590093800000034
7610,229999,3,19,S GRAND BLVD,GRAND,-90.24388581899996,38.58880281900008
7611,31111,5,50,NATURAL BRIDGE AVE,,-90.27299747399996,38.68685373100004
7612,67701,6,56,GREER AVE,BACON,-90.22599892499994,38.659944849000055
7613,64601,4,59,SULLIVAN AVE / N VANDEVENTER A,HEBERT,-90.22485884699995,38.66080713300005
7614,64701,2,8,RHODES AVE,RHODES,-90.29743254199997,38.579167331000065
7615,142320,2,14,OLEATHA AVE,OLEATHA,-90.27644501099996,38.59640714200003
7616,65701,3,25,SIDNEY ST,SIDNEY,-90.23958257899994,38.60814941900003
7617,64601,3,22,LEMP AVE / PESTALOZZI ST,,-90.21694277099994,38.599427942000034
7618,51312,1,1,BATES ST,BATES,-90.24874372099998,38.56589321800004
7619,36111,3,25,GRAVOIS AVE,GRAVOIS,-90.24300327399999,38.59346898000007
7620,151400,2,15,S GRAND BLVD,,-90.24385527899994,38.591293319000044
7621,91114,5,53,N KINGSHIGHWAY BLVD,,-90.26155012499999,38.66235125000003
7622,71013,1,17,S BROADWAY,BROADWAY,-90.23314982599999,38.57663188400005
7623,64701,1,1,VIRGINIA AVE,VIRGINIA,-90.25291553599999,38.558036317000074
7624,142320,3,31,PARK AVE,PARK,-90.22212304299995,38.61881014000005
7625,142320,2,45,WOODBOURNE DR,WOODBOURNE,-90.30366832999994,38.642236086000025
7626,142320,3,25,VIRGINIA AVE,VIRGINIA,-90.23603602799994,38.60291871000004
7627,229999,3,19,S GRAND BLVD,GRAND,-90.24388581899996,38.58880281900008
7628,71013,6,74,WALL ST,WALL,-90.23317580199995,38.719923476000076
7629,64701,2,15,S SPRING AVE,SPRING,-90.24690004999997,38.595534179000026
7630,142320,3,31,OHIO AVE,OHIO,-90.22176982199994,38.61964131600007
7631,64701,2,45,WOODBOURNE DR,WOODBOURNE,-90.30454553299995,38.64244075400006
7632,31111,2,15,PARKER AVE,PARKER,-90.25543423399995,38.596293727000045
7633,265321,5,53,DR MARTIN LUTHER KING DR / N K,DR MARTIN LUTHER KING,-90.26144094899996,38.66306221800005
7634,63701,3,25,S GRAND BLVD,GRAND,-90.24255394699998,38.59466522100007
7635,51312,1,16,LIERMANN AVE,LIERMANN,-90.24601700399995,38.58408719100004
7636,66701,2,14,ARTHUR AVE,,-90.28280003999998,38.60007669700008
7637,265321,2,7,ITASKA ST,ITASKA,-90.28788503299995,38.584862533000035
7638,142320,4,35,SPRUCE ST,SPRUCE,-90.19764203199998,38.62414517900004
7639,265321,6,68,E FARLIN AVE / TURNER AVE,,-90.23135473299999,38.67136375300004
7640,31411,1,17,S BROADWAY,THOLOZAN,-90.23144297099998,38.57780269500006
7641,266510,4,35,LOCUST ST,,-90.19567586499994,38.62994770000006
7642,67601,1,16,POMONA CT,POMONA,-90.25334538699997,38.58155188300003
7643,67701,1,5,S KINGSHIGHWAY BLVD,,-90.27596168299999,38.58653731000004
7644,142320,5,55,DR MARTIN LUTHER KING DR,DR MARTIN LUTHER KING,-90.25538758399995,38.66144061400007
7645,41011,3,16,IOWA AVE,PENNSYLVANIA,-90.23136677599996,38.58013327800006
7646,182400,2,14,LINDENWOOD AVE,LINDENWOOD,-90.28073069999994,38.59315033000007
7647,64601,5,46,WATERMAN BLVD,WATERMAN,-90.29863334099997,38.65044605300005
7648,142320,3,16,IOWA AVE,IOWA,-90.23091060599995,38.58229054100008
7649,52212,5,46,DEBALIVIERE AVE,DEBALIVIERE,-90.28551683899997,38.64930240700005
7650,31111,1,1,MICHIGAN AVE,BOWEN,-90.24780403299997,38.56056157900008
7651,64701,2,88,HOLLY HILLS AVE,HOLLY HILLS,-90.31399760999994,38.58058482600006
7652,151110,4,59,MONTGOMERY ST,,-90.22184857199994,38.65270782700003
7653,41011,3,16,OREGON AVE,,-90.23331518899994,38.58195554800005
