,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,Sudan,2007-01-01,1st,113.7,9.9,9.7,10.0,7.7,9.1,9.0,10.0,9.5,10.0,9.2,9.8,9.8
1,Iraq,2007-01-01,2nd,111.4,10.0,9.8,10.0,8.0,8.5,9.5,9.4,8.5,9.7,9.0,9.0,10.0
2,Somalia,2007-01-01,3rd,111.1,10.0,10.0,8.5,9.2,7.5,8.0,10.0,10.0,9.7,9.2,9.0,10.0
3,Zimbabwe,2007-01-01,4th,110.1,9.5,9.0,8.8,10.0,9.5,9.1,9.5,9.6,9.7,9.7,8.7,7.0
4,Chad,2007-01-01,5th,108.8,9.6,9.7,9.5,8.3,9.0,7.9,9.5,9.1,9.2,9.1,8.9,9.0
5,Cote d'Ivoire,2007-01-01,6th,107.3,9.6,9.3,9.8,8.9,8.0,8.4,9.5,7.9,9.2,8.6,8.3,9.8
6,Congo Democratic Republic,2007-01-01,7th,105.5,9.6,8.6,8.8,8.0,9.1,7.6,8.3,8.7,8.9,9.4,8.9,9.6
7,Afghanistan,2007-01-01,8th,102.3,9.0,8.5,9.1,8.3,8.0,7.0,8.8,8.0,8.2,8.5,8.9,10.0
8,Guinea,2007-01-01,9th,101.3,8.1,9.0,8.1,8.5,8.5,8.3,9.6,8.9,8.6,7.8,7.4,8.5
9,Central African Republic,2007-01-01,10th,101.0,8.9,9.3,8.8,8.4,8.6,5.5,9.0,8.0,8.2,8.9,8.4,9.0
10,Haiti,2007-01-01,11th,100.9,9.3,9.3,8.0,8.4,8.2,8.0,9.2,9.0,9.1,8.6,4.2,9.6
11,Pakistan,2007-01-01,12th,100.1,9.5,9.5,9.0,5.8,8.5,8.1,8.7,7.1,8.7,8.2,8.5,8.5
12,North Korea,2007-01-01,13th,97.7,8.3,7.9,7.2,9.6,8.8,5.0,9.8,9.5,9.7,8.0,6.0,7.9
13,Myanmar,2007-01-01,14th,97.0,9.0,8.2,9.1,7.6,8.9,6.0,9.1,8.3,9.8,8.5,8.5,4.0
14,Uganda,2007-01-01,15th,96.4,8.3,7.8,8.5,7.5,8.5,6.0,8.5,8.2,8.2,8.1,9.4,7.4
15,Bangladesh,2007-01-01,16th,95.9,8.0,9.5,9.6,6.9,9.0,8.4,9.0,7.4,7.8,8.6,5.8,5.9
16,Nigeria,2007-01-01,17th,95.6,9.2,9.5,9.5,5.4,9.1,8.5,9.1,8.7,7.1,8.2,5.6,5.7
17,Ethiopia,2007-01-01,18th,95.3,7.5,8.9,7.8,8.0,8.6,7.5,7.9,7.0,8.5,9.0,7.9,6.7
18,Burundi,2007-01-01,19th,95.2,6.8,7.5,6.7,8.2,8.8,6.7,7.1,8.9,7.5,9.1,8.9,9.0
19,Timor-Leste,2007-01-01,20th,94.9,9.0,8.8,7.1,8.5,6.5,5.3,9.5,7.9,6.9,8.1,8.5,8.8
20,Nepal,2007-01-01,21st,93.6,8.3,8.5,8.9,8.2,9.2,6.1,8.5,6.6,8.8,8.1,5.2,7.2
21,Uzbekistan,2007-01-01,22nd,93.5,8.9,9.2,7.1,7.5,8.6,7.1,9.2,6.8,9.0,7.7,5.4,7.0
22,Sierra Leone,2007-01-01,23rd,93.4,6.5,7.7,7.1,8.7,8.7,8.7,8.0,8.0,7.0,8.6,7.4,7.0
23,Yemen,2007-01-01,24th,93.2,8.0,9.0,7.3,8.0,8.7,7.2,7.8,8.1,7.2,8.0,6.7,7.2
