Index,Crime,District,Neighborhood,ILEADSStreet,Longitude,Latitude
7865,41011,6,70,GOODFELLOW BLVD,-90.27086616,38.687904
7866,67701,4,36,N 15TH ST,-90.20210475,38.6291899
7867,142320,4,63,SULLIVAN AVE,-90.20066667,38.653861
7868,69703,5,47,PERSHING AVE,-90.28386954,38.64888749
7869,142320,2,82,GOVERNMENT DR,-90.28844334,38.63516901
7870,41026,1,4,TOENGES AVE,-90.2724491,38.56826148
7871,41016,1,4,TOENGES AVE,-90.2724491,38.56826148
7872,41013,1,4,TOENGES AVE,-90.2724491,38.56826148
7873,229999,4,35,N 4TH ST,-90.1869689,38.62798062
7874,91113,3,21,LYNCH ST,-90.2112819,38.60002646
7875,142320,3,32,HICKORY ST,-90.21910228,38.62047245
7876,71030,5,52,NORTHLAND AVE,-90.25818819,38.66968964
7877,43013,3,21,S 9TH,-90.20196563,38.61137949
7878,211000,2,15,S KINGSHIGHWAY BLVD / THOLOZAN,-90.27211719,38.59316683
7879,265321,4,37,N COMPTON AVE / WASHINGTON AVE,-90.22500697,38.63745351
7880,265321,2,11,HOFFMAN AVE,-90.29355209,38.60809781
7881,65701,6,71,ROSALIE ST,-90.23397334,38.68734811
7882,64711,5,53,DR MARTIN LUTHER KING DR / N K,-90.26144095,38.66306222
7883,41011,4,60,N FLORISSANT AVE / SAINT LOUIS,-90.19998089,38.65086895
7884,64711,2,28,TALMAGE AVE / S VANDEVENTER AV,-90.25085402,38.62625314
7885,41011,4,60,N FLORISSANT AVE / SAINT LOUIS,-90.19998089,38.65086895
7886,64701,2,39,PAPIN ST / S SARAH ST,-90.24972193,38.62948817
7887,67701,3,21,RUSSELL AVE,-90.20993581,38.60757993
7888,64701,2,27,SHAW BLVD,-90.24774798,38.61598771
7889,250000,4,35,WASHINGTON AVE,-90.19448511,38.63098255
7890,65701,4,35,N 11TH ST,-90.19583763,38.62869598
7891,266999,2,15,CHIPPEWA ST,-90.26687085,38.59116294
7892,67701,2,15,CHIPPEWA ST,-90.26687085,38.59116294
7893,67701,3,19,MINNESOTA AVE,-90.23471056,38.5922505
7894,265321,1,6,EICHELBERGER ST,-90.29026208,38.58190394
7895,142320,5,38,WASHINGTON AVE,-90.25951336,38.65048201
7896,43012,4,36,PINE ST,-90.20332785,38.63029686
7897,250000,4,35,WASHINGTON AVE,-90.19171448,38.63102746
7898,43013,5,78,MINERVA AVE,-90.28736767,38.67124834
7899,43013,5,78,MINERVA AVE,-90.28736767,38.67124834
7900,64711,2,40,LAWN PL,-90.2661408,38.62864069
7901,64701,2,8,SUNSHINE DR,-90.29921212,38.57311503
